,Year,Alaska,Amwest,British,Continental,Delta,Eastern,Hawaiian
1,1960,1887.2,160.9,1726.3,1609,9.6,1132.32,28.8
2,1961,1906.1,158.1,1747.9,1581,9.4,1143.66,28.2
3,1962,2019.8,162.3,1857.5,1623,9.4,1211.88,28.2
4,1963,2180.3,168.2,2012.1,1682,9.4,1308.18,28.2
5,1964,2388.1,190.6,2197.5,1906,11.2,1432.86,33.6
6,1965,2449,200.2,2248.8,2002,12.1,1469.4,36.3
7,1966,2670.8,220,2450.9,2200,13.2,1602.48,39.6
8,1967,2989.7,253.2,2736.5,2532,14,1793.82,42
9,1968,3370.2,298.4,3071.8,2984,15.9,2022.12,47.7
10,1969,3680,328.7,3351.3,3287,18.5,2208,55.5
11,1970,3984.5,363.5,3621,3635,18.7,2390.7,56.1
12,1971,4164.7,396,3768.8,3960,20.5,2498.82,61.5
13,1972,3961.4,401,3560.4,4010,22.5,2376.84,67.5
14,1973,4154.4,417.4,3737,4174,24.5,2492.64,73.5
15,1974,4850.4,461.1,4389.3,4611,26.2,2910.24,78.6
16,1975,5298.5,487.8,4810.7,4878,26.3,3179.1,78.9
17,1976,5287.3,467.8,4819.5,4678,26.6,3172.38,79.8
18,1977,5077.6,475.9,4601.7,4759,29.4,3046.56,88.2
19,1978,5140.4,497.8,4642.5,4978,31,3084.24,93
20,1979,5565.5,548.9,5016.6,5489,34.7,3339.3,104.1
21,1980,5950,596.6,5353.3,5966,36.8,3570,110.4
22,1981,5858.2,594.3,5263.8,5943,36,3514.92,108
23,1982,5603.7,571.1,5032.5,5711,34,3362.22,102
24,1983,5175,537.7,4637.3,5377,33.7,3105,101.1
25,1984,5031.3,539.2,4492.1,5392,35.7,3018.78,178.5
26,1985,5207.1,556.6,4650.5,5566,37.1,3124.26,185.5
27,1986,5480.4,620.1,4881.8,6201,38.1,4384.32,190.5
28,1987,5550,609.7,4940.3,6097,37.4,4440,187
29,1988,5664.2,637.2,5027.1,6372,37.6,4531.36,188
30,1989,5741,663.1,5077.9,6631,38.1,4592.8,190.5
31,1990,5820.3,731.8,5088.5,7318,41.2,4656.24,206
32,1991,5897.8,758.1,5139.7,7581,42.3,4718.24,211.5
33,1992,5660.2,757.5,4902.7,7575,42.8,4528.16,214
34,1993,5484.4,746.8,4737.7,7468,41.1,4387.52,205.5
35,1994,5373.5,713.6,4660,7136,39.3,4298.8,157.2
36,1995,5274.9,684.5,4591.3,6845,37.1,4219.92,148.4
37,1996,5087.6,636.6,4451,6366,36.3,4070.08,145.2
38,1997,4927.3,611,4316.3,6110,35.9,4927.3,143.6
39,1998,4615.5,566.4,4049.1,5664,34.4,56640,137.6
40,1999,4266.5,523,3743.6,5230,32.8,52300,131.2
41,2000,4124.8,506.5,3618.3,5065,32,50650,128
42,2001,4162.6,504.5,3658.1,5045,31.8,50450,127.2
43,2002,4125,494.4,3630.6,4944,33.1,49440,132.4
44,2003,4067,475.8,3591.2,4758,32.3,47580,129.2
45,2004,3977.3,463.2,3514.1,4632,32.4,46320,129.6
46,2005,3900.5,469,3431.5,4690,31.8,46900,127.2
47,2006,3808.1,473.6,3334.5,4736,30.9,47360,123.6
48,2007,3730.4,466.9,3263.5,4669,30,47600,120
49,2008,3669,457.5,3211.5,4575,29.7,47840,118.8
50,2009,3465.5,431.9,3036.1,4319,29.1,48080,116.4
51,2010,3350.4,404.5,2945.9,4045,27.7,48320,110.8
52,2011,3292.5,387.1,2905.4,3871,27,48560,108
53,2012,3255.8,387.8,2868,3878,27.1,48800,108.4
54,2013,3112.4,379.1,2733.3,3791,25.9,49040,103.6
55,2014,2971.8,375.7,2596.1,3757,26.4,49280,105.6
