"HOUSEHOLD DATA
ANNUAL AVERAGES
17.  Employed persons by industry, sex, race, and occupation",,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
,,,,,,,,,,,,
"Industry, sex, and race",2017,,,,,,,,,,,
,"Total
em-
ployed","Management,
professional,
and related
occupations",,"Service
occupations",,"Sales and office
occupations",,"Natural resources,
construction, and
maintenance occupations",,,"Production, trans-
portation, and
material moving
occupations",
,,"Manage-
ment,
business,
and
financial
opera-
tions
occupa-
tions","Profes-
sional
and
related
occupa-
tions","Protec-
tive
service
occupa-
tions","Service
occupa-
tions,
except
protec-
tive","Sales
and
related
occupa-
tions","Office
and
adminis-
trative
support
occupa-
tions","Farming,
fishing,
and
forestry
occupa-
tions","Construc-
tion
and
extrac-
tion
occupa-
tions","Instal-
lation,
mainte-
nance,
and
repair
occupa-
tions","Produc-
tion
occupa-
tions","Transpor-
tation
and
material
moving
occupa-
tions"
,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,
Agriculture and related,"2,454","1,056",52,14,77,18,80,"1,001",11,30,24,90
"Mining, quarrying, and
oil and gas extraction",748,146,111,4,5,11,52,1,235,55,47,81
Construction,"10,692","1,984",265,15,47,111,492,5,"6,769",612,161,232
Manufacturing,"15,408","2,645","2,255",36,215,608,"1,292",61,304,675,"6,078","1,239"
Durable goods,"9,698","1,692","1,624",25,89,296,823,5,234,434,"3,823",654
Nondurable goods,"5,710",952,630,12,126,312,469,56,71,241,"2,255",585
Wholesale and retail trade,"20,314","1,497","1,209",69,669,"10,129","3,318",62,96,709,579,"1,977"
Wholesale trade,"3,594",513,173,3,34,"1,304",542,52,22,126,122,701
Retail trade,"16,720",984,"1,036",66,636,"8,824","2,776",10,73,582,456,"1,276"
Transportation and utilities,"8,159",876,379,34,152,123,"1,653",4,176,543,373,"3,847"
Information,"2,903",564,"1,134",6,72,330,428,0,13,279,40,37
Financial activities,"10,482","4,398",907,62,326,"2,284","2,112",0,49,186,41,116
Professional and business services,"18,835","4,841","6,129",557,"3,040",644,"2,279",18,131,303,311,585
Education and health services,"34,483","3,308","19,295",182,"7,172",100,"3,539",4,83,201,168,432
Leisure and hospitality,"14,291","2,018",998,201,"8,666","1,042",708,5,37,110,139,367
Other services,"7,485",695,976,27,"2,871",385,603,2,24,"1,110",442,349
"Other services, except private households","6,828",688,970,27,"2,241",385,599,2,23,"1,110",442,340
Private households,657,7,6,0,630,0,4,0,1,0,0,8
Public administration,"7,083","1,351","1,812","1,905",325,31,"1,195",21,105,165,80,94
,,,,,,,,,,,,
Men,,,,,,,,,,,,
Agriculture and related,"1,843",778,38,12,48,13,13,801,11,30,20,78
"Mining, quarrying, and
oil and gas extraction",654,119,86,4,4,9,21,1,231,54,46,80
Construction,"9,722","1,732",210,13,38,90,70,5,"6,576",603,158,225
Manufacturing,"10,857","1,774","1,745",29,135,383,509,26,294,642,"4,323",995
Durable goods,"7,235","1,189","1,328",19,60,219,325,5,228,409,"2,906",548
Nondurable goods,"3,622",585,418,9,75,164,184,22,66,234,"1,418",448
Wholesale and retail trade,"11,176",833,519,48,316,"5,195","1,460",32,91,679,374,"1,630"
Wholesale trade,"2,521",324,112,3,22,963,234,26,22,122,81,610
Retail trade,"8,656",509,407,45,293,"4,231","1,226",6,68,557,293,"1,020"
Transportation and utilities,"6,204",613,287,25,90,86,801,3,174,527,334,"3,263"
Information,"1,771",338,736,6,34,186,135,0,13,268,27,30
Financial activities,"4,940","2,245",524,33,233,"1,131",431,0,46,174,20,102
Professional and business services,"10,882","2,689","3,930",413,"1,839",348,539,14,121,285,219,484
Education and health services,"8,804","1,125","5,199",121,"1,430",29,341,3,76,183,67,231
Leisure and hospitality,"6,996","1,035",557,140,"4,238",280,232,4,33,104,70,301
Other services,"3,617",295,553,20,666,277,80,2,24,"1,075",310,315
"Other services, except private households","3,562",294,551,20,624,277,80,2,23,"1,075",310,307
Private households,55,1,2,0,42,0,0,0,1,0,0,8
Public administration,"3,935",630,896,"1,556",132,17,295,15,99,154,63,80
,,,,,,,,,,,,
Women,,,,,,,,,,,,
Agriculture and related,611,278,14,2,29,5,68,200,0,0,4,11
"Mining, quarrying, and
oil and gas extraction",94,27,25,0,1,1,31,0,5,1,1,1
Construction,971,252,56,2,9,21,421,0,192,9,3,7
Manufacturing,"4,551",871,509,8,81,224,783,35,10,32,"1,755",243
Durable goods,"2,463",503,296,5,30,76,498,1,5,25,917,106
Nondurable goods,"2,088",368,213,3,51,148,285,35,4,7,837,137
Wholesale and retail trade,"9,137",664,689,21,354,"4,934","1,858",29,5,30,205,347
Wholesale trade,"1,073",189,61,1,11,341,308,25,0,5,41,91
Retail trade,"8,064",476,628,21,342,"4,593","1,550",4,5,25,164,256
Transportation and utilities,"1,955",263,92,9,62,37,851,1,2,16,39,584
Information,"1,132",226,399,0,39,144,293,0,0,11,13,7
Financial activities,"5,542","2,153",383,29,93,"1,153","1,681",0,3,12,21,14
Professional and business services,"7,954","2,151","2,198",144,"1,201",296,"1,740",3,10,18,91,101
Education and health services,"25,679","2,183","14,096",61,"5,742",71,"3,198",1,7,18,101,201
Leisure and hospitality,"7,294",983,441,61,"4,428",762,476,1,3,6,68,66
Other services,"3,868",400,423,7,"2,206",108,524,0,0,35,131,33
"Other services, except private households","3,265",394,419,7,"1,617",108,519,0,0,35,131,33
Private households,602,6,4,0,588,0,4,0,0,0,0,0
Public administration,"3,148",721,916,350,193,15,899,6,6,11,17,14
,,,,,,,,,,,,
White,,,,,,,,,,,,
Agriculture and related,"2,267","1,007",49,13,72,18,73,908,10,28,17,72
