position,company,description,reviews,location
Data Analyst,Operation HOPE,"DEPARTMENT: Program OperationsPOSITION LOCATIONS: Atlanta, GA.ACCOUNTABILITY:  President of Program OperationsFor 25 years Operation HOPE has been dedicated to empowering underserved communities through financial literacy, now our work encompasses more than financial education. Our work is about instilling knowledge and confidence in those we serve so they can experience, sometimes for the first time in their lives, financial dignity.JOB SUMMARYThe data analyst collects, organizes, mines, analyzes, and audits large sets of data for impact reporting and operational optimization. The Data Analyst participates as a team member responsible for maintaining the integrity of client database information and provides executable and actionable recommendations for data migration best practices and field operations based on analytical findings.DUTIES AND RESPONSIBILITIESInitiate and participate in data mining and reportingAudit and profile the data to assess the impact of poor quality data on the organizationâ€™s performance and impacts.Conduct A/B testing based on different hypotheses that directly and indirectly impact operational key performance indicators.Create and support data visualization through operational and executive dashboards.Import/Collect, clean, convert and analyze data for the purpose of find insights and making conclusions.Design and develop relational databases for collecting data.Monitor the performance of data systems and if there are any issues then respond to the same.Keep a track of trends, patterns and correlation in case of complex data sets.Prepare concise data reports and data visualizations for the management that will help in decision-making process.Assist the data scientist in development of new analytical tools and methods as and when required.REQUIRED SKILLS AND EDUCATIONBachelorâ€™s DegreeTwo or more years as a data analyst in related fieldAble to understand various data structures and common methods in data transformationExperience in basic statistical modeling and reportingExperience in SQL, relational databases, database concepts, dimensional modeling and database designProficient in one or more programming languages: R, Python, STATA, SASExperience with Caseworthy, SQL and TableauEEOSTATEMENTOperation HOPE is an Equal Opportunity Employer, all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information or any other characteristic protected by law.Job Type: Full-timeSalary: $50,000.00 to $60,000.00 /yearExperience:data analyst in related field: 2 yearsbasic statistical modeling and reporting: 2 yearsProgramming languages: R, Python, STATA, SAS: 2 yearsSQL, relational databases, database concepts/design: 2 yearsCaseworthy, SQL and Tableau: 1 yearEducation:Bachelor'sLocation:Atlanta, GA",44,"Atlanta, GA 30303 "
Analyst - CIB Credit Research,SunTrust,"Works closely with senior CIB professionals. Performs assigned duties, including but not limited to, due diligence, document processing, financial modeling, statistical analysis, research, and presentation development. Follows all risk related practices and policies.
Support senior credit research analyst conducting bottom-up, fundamental credit analysis of both high yield and investment grade corporations, including building financial models.
Develop commentary and analyses to provide investing/trading strategies to institutional fixed-income investors.
Work with sales professionals and bond traders to assist in managing day-to-day trading and monitoring news flow.
Speak with management teams, rating agencies and other industry sources to develop investment/trading strategies.

Qualifications
Minimum Requirements:
 BA/BS degree
 Proven analytical ability and attention to detail
 Solid leadership and interpersonal skills
 Proven ability to work well in a fast-paced, team-oriented environment
 Strong written and oral communication skills
 Some related work experience since graduation from an undergraduate program
Preferred Requirements:
 1 year of related work experience since graduation from an undergraduate program
Equal Opportunity Employer: SunTrust supports a diverse workforce and is a Drug Testing and Equal Opportunity Employer. SunTrust does not discriminate against individuals on the basis of race, creed, color, gender, religion, national originTo review the EEO Poster, copy and paste the following link into your browser: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf",3343,"Atlanta, GA"
Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,"Data Science Analystâ€“ Business Intelligence
Location: Hoboken, NJ or Atlanta, GA
Reports to: Director, Data Science

The Data Science Analyst will play an integral role in helping the company achieve its ambition by ensuring that Newell Brands is leveraging scientific methods and analytics to drive Supply Chain Improvements. Reporting to the Lead Data Scientist within the Supply Chain Transformation Office. The role will be highly visible with impact across all Newell Divisions.

Key Responsibilities:

Develop business requirements for a Supply Chain data repository to consolidate multiple ERP data sources into a comprehensive source for analytics
Partner with the IT organization on the development and implementation of algorithms required to extract and cleanse data into the Supply Chain data repository
Develop and implement diagnostic tools for use by business users to identify performance oppourtunities and root cause for action planning
Develop and implement optimization programs to improve planning outputs for manufacturing and distribution operations

Key Qualifications:

MS in Statistics, Operations Research, or Engineering
2+ years experience developing and applying statistical and operations techniques within a business environment
Ability to communicate complex technical concepts to business partners in Supply Chain and Finance communiites.
Expert level SQL skills with demonstrated experience with large data sets.
Advanced experince with data visualization tools like Tableau, QlikView, Qlik Sense, etc., deploying BI tools at scale
Intermediate experience in open source programming languages (R/Python)
Strong written and verbal communication skills
Interpersonally savvy
Ability to work with and connect with all levels of employees
Strong planning &amp; organizing skills
Initiative &amp; follow-up, including a strong sense of autonomy
Strong Character â€“ ability to champion the right decision in difficult situations
Demonstrated ability to handle multiple tasks and assignments simultaneously

Newell Brands (NYSE: NWL) is a leading global consumer goods company with a strong portfolio of well-known brands, including Paper Mate, Sharpie, Dymo, EXPO, Parker, Elmers, Coleman, Jostens, Marmot, Oster, Sunbeam, FoodSaver, Mr. Coffee, Rubbermaid Commercial Products, Graco, Baby Jogger, NUK, Calphalon, Rubbermaid, Contigo, First Alert and Yankee Candle. For hundreds of millions of consumers, Newell Brands makes life better every day, where they live, learn, work and play. Newell Brands and its subsidiaries are Equal Opportunity Employers and comply with applicable employment laws. EOE/M/F/Vet/Disabled are encouraged to apply.",912,"Atlanta, GA"
Statistical Analyst,Hawkins Diagnostics,"Job Description

Participates in all aspects of business intelligence and project data â€“ collection, management, technology, research, and analytics in support of excellence on all projects. Participate in the development of a robust support platform to collect, evaluate, and assess clinical trial intelligence. The position will be charged with defining and executing best practices for all data-related areas of new project planning and ongoing project operations. This position will also collaborate with senior Clinical Trials account team members to grow clinical trial services in new and innovative directions.

Required Skills

Support personnel and operations of the Clinical Trials Survey Verification Center (SVC) to ensure that the SVC meets all client objectives and is positioned for future growth, by determining its annual resource/staffing needs, as well as developing a long-term plan for SVC utilization and expansion.
Provide Clinical Trials representation on corporate councils and teams to support alignment of corporate Information Systems objectives.
Assist in the design of, and lead the execution of analytics to measure and demonstrate ROI of Clinical Trial projects and identify areas to improve the Clinical Trials group performance. Work with client teams to define project-specific metrics and reports, ad hoc quantitative analyses, and execute/present interim and final project analysis presentations.
Lead the design and execution of quantitative market research for all Clinical Trial projects to produce actionable insights that will guide and refine patient recruitment and physician engagement initiatives. Including, but not limited to, site surveys, patient demographics, and field data collection as well as support (as needed) qualitative market research projects.
Identify, define and evaluate potential new directions for Clinical Trials strategic innovation to align new technologies with Corporate strategic objectives in a way that maximizes return on investment. Assess new clinical opportunities in technologies and research/database partners.
Participate in development of strategic plans and key creative and project briefs to ensure that creative ideas and tactics are developed and delivered to our clients, by bringing the insights generated by market research and analysis to inform and improve these activities.

Required Experience

1-5 years experience in database technologies, including a basic understanding of technology business analysis
Knowledge of fundamental methodologies of data analysis, such as basic modeling and linear regression
Knowledge of SAS/SPSS or other analytic tools preferred
Strong understanding of marketing/market research practices
Must possess a strong team orientation and have previous demonstrated successes surrounding the ability to conceptualize and thing strategically
Excellent interpersonal, verbal and written communication, presentation, and influence skills",NA,"Atlanta, GA"
Statistical Quantitative Analyst,SunTrust,"Reviews and validates models.
Works with more experienced analysts to develop and validate moderately complex models and methodologies. Researches best practices and new technologies.
Performs model testing and replication and validation of model methodology.

Qualifications
Masters degree in a quantitative field such as Mathematics or Engineering.
Demonstrated technical proficiency related to the position, including Probability and Statistics; Finance (time value of money, yield curve); Programming skills (Visual Basic, C++, and/or Java).
Preferred Requirements:
PhD in a quantitative field such as Mathematics or Engineering.
One year work experience in quantitative analysis.
Equal Opportunity Employer: SunTrust supports a diverse workforce and is a Drug Testing and Equal Opportunity Employer. SunTrust does not discriminate against individuals on the basis of race, creed, color, gender, religion, national originTo review the EEO Poster, copy and paste the following link into your browser: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf",3343,"Atlanta, GA"
Research Analyst,Evident,"The research analyst will support the identification and definition of data sources for the Evident Platform. You will perform in depth research into a wide variety of focus area identifying authoritative sources for information and analyzing the structure of the returned data to create definition of how the customers will interface with the data. This role will work closely with sales, product, and engineering teams to carry a customer need from concept to realization.
Gain knowledge around topic areas to understand the possible verifications that exist within the domain
Investigate potential authoritative sources of data including understanding potential competitive landscape of the market participants
Understand the data: quality, meaning, and applications
Define data structure and normalization where required
Maintain data coverage reports
Simplify and organize fragmented but similar sources into digestible and normalized schemas
Content Creation - Create summaries and descriptive text that will be used within the platform for consumption by customers
Implement research standards and process within Evident
Requirements
Strong intellectual curiosity and eagerness to learn
Outstanding attention to detail
High volume research experience
Capable of managing multiple projects simultaneously
Ability to work well with limited direction/oversight
Strong communication skills with ability to collect organize, analyze and disseminate significant amounts of information with attention to detail and accuracy
Strong computer skills with office productivity suite (word processing, spreadsheet, presentation software)
Analytical mindset
Excellent organization and project management skills
Benefits
Our team solves a crucial problem with huge business potential together, and we are able to see exactly how our contribution affects customers!
Innovatively cool, fun and tech-savvy location! We are located in midtown in the center of Atlantaâ€™s â€œTech Squareâ€ community.
We offer a friendly work environment and great culture with highly capable people.
Dress casually and join us for company lunches and other events!
Competitive pay package, including base pay and stock options
Excellent benefits package
Free parking provided
Quick walking accessibility to the Georgia Tech community and great local eateries such as, The Canteen (offer several vendor eateries), Rayâ€™s Pizza, The Revelator, Starbucks and more!",8,"Atlanta, GA"
"Analyst, Research",Turner,"The Turner Story
Turner is a division of WarnerMedia along with our sister companies, HBO and Warner Bros. We are better known as the folks who bring you CNN, HLN, TCM, TNT, tbs, Adult Swim, Cartoon Network, Turner Sports, truTV and so much more! From cutting-edge breaking news stories, up-to-the-minute sports coverage, and the characters we grew up loving on to the shows we love today, Turner continues to be the gold standard in first class television programming and a demonstrated leader in digital content. We tell the stories the world wants to hear. Wonâ€™t you be a part of our story? www.turner.com

What part will you play?
CNN TV Research seeks a dynamic individual to provide research and administrative support for its ATL-based team.

What will you be doing?
Develop a deep understanding of the television landscape and media research, and how they intersect
Assist in production of daily and regular reporting needs for the CNN and HLN brands, as well as, competitive networks
Create, maintain, and clean various large-scale datasets to be translated into data visualizations through tools such as Tableau or Domo
Provide support and recommendations (with manager oversight) for CNN / HLN Executive Management Team and Marketing teams
Support larger team in long-range estimates and forecasting
Learn how to extract and analyze industry data using Nielsen research software applications (Ex: Nielsen NPower, Arianna, Star Media, etc.)

What do we need from you?
Candidate must have knowledge - and more importantly - a strong passion for TV, News, and the Media landscape
Prior Excel experience required: o Experience with Pivot Tables and Excel analysis formulas (including IF, VLOOKUP, COUNT, SUMIF)
Base skill set of data analysis programing languages such as SQL, R, or Python preferred; additional experience in Tableau, PowerBI, DOMO, or other similar data visualization software ideal
Ability to master new tools (some one-on-one training on Nielsen software will be provided by supervisor/team)
Strong analytical skills with the ability to collect, organize, and analyze significant amounts of information with meticulous attention to detail and accuracy
Minimum of 1-year relevant work experience or internship
Bachelor's degree required with mathematics, media, marketing or business degree preferred

But wait, thereâ€™s more!
Paid time off every year to volunteer
Access to wellbeing tools, resources, and freebies
2017 Best Company for Working Mothers
An in-house learning and development team to help shape and grow your career
Part of the WarnerMedia family of powerhouse brands
 #conference
Turner Broadcasting System, Inc. and its subsidiaries are Equal Opportunity Employers and E-Verify users. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status.",375,"Atlanta, GA 30319"
Quantitative Analyst,GreenSky,"Job Description:
Headquartered in Atlanta, GreenSky is among the top 3 most valuable U.S. financial technology companies established since 2000, and our $1.0 billion Initial Public Offering marked the largest U.S. Technology IPO of 2018. Our mission is simple. We power commerce. Our highly scalable, proprietary technology platform enables over 12,000 merchants to offer frictionless promotional payment options to consumers at the point-of-sale, driving increased sales volume and accelerated cash flow. Our bank partners leverage GreenSkyâ€™s technology to provide loans to super-prime and prime consumers nationwide. Since our inception, over 1.7 million consumers have financed over $12 billion of commerce using our paperless, real time â€œapply and buyâ€ technology. For more information, please visithttps://www.greensky.com.
Position: Quantitative Analyst
Overview:We are looking for a talented Quantitative Analyst to join our team and support Credit Risk for our expanding portfolios. The candidate will use a combination of intellect, intuition, curiosity, data mining, programming, statistics and analytics to investigate a wide array of business, finance and credit topics, translating results into actionable recommendations to guide strategic decisions.
Duties:
Develop an understanding of the credit capabilities and business process, leverage this knowledge to perform business analytics and develop recommendations for credit strategy and business practice improvement.
Perform data mining, programming, and statistical tools to support ad hoc and ongoing analytics to support the Credit Risk function.
Create and maintain SQL and Excel reports to track progress of portfolio and credit strategy performance.
Design forecasting models to predict economic and account performance and profitability used to guide strategic pricing decisions.
Prepare written summaries and present findings to Executives and Senior Staff
Required Experience:
Degree in Mathematics, Finance, Economics, Computer Science, Engineering or Business
Exposure to SAS, SQL, Python, R/Cart, and/or other Statistical and/or data mining software
Proficiency with Excel &amp; Powerpoint
Attention to detail, strong communication skills, self-guiding and motivated
Preferred Skills
Advanced Degree in Decision Sciences, Mathematics, Economics or Finance with ample exposure to statistical concepts
Past work experience with Analytics in Finance, data mining, and VBA or other programming languages

We strongly encourage Armed Forces Veterans to apply

Keyword: Quantitative Analyst
From: GreenSky",26,"Atlanta, GA 30342 "
Quantitative Finance Analyst,Bank of America,"Job Description:

We are seeking a Quantitative Finance Analyst to join the Global Risk Analytics team. This role will form part of the Model Standards and Oversight (MSO) function within GRA.

The successful candidate will extend the coverage of quantitative control execution, affording the development of a more expansive range of controls. He/She will improve the overall quality, timeliness and effectiveness of the quantitative oversight function.

The role presents an opportunity to engage in GRAâ€™s broad range of activities and demands a highly varied skillset, including quantitative, analytical, organizational, communication and technology capabilities.

Two or more years of industry experience working in a model audit or model governance focused role within a bank are desirable.

Key tasks include the following:
Execute existing strategic controls initiatives and support the evolution of the GRA quantitative controls framework
Roll out new oversight procedures covering model development, technical implementation, data management and model execution
Identify key risk and performance indicators
Improve oversight and management information systems
Support and oversee the model development lifecycle, including management of the model inventory, ownership and retirement processes, periodic attestations and peer review processes
Seek opportunities to automate and simplify the quantitative controls framework, standardize management reporting and support alignment across sub-groups and central teams
Understand the wider control environment and second and third lines of defense to improve overall efficiency, adhere to best practices and remove process duplication
Provide business coverage and continuity of GRAâ€™s quantitative control framework
Key Competencies:
Builds Organizational Alignment
Leverages Technology
Drives Operational Excellence
Demonstrates Analytical Ability
Requirements:
3 or more years of industry experience working in a model audit or model governance focused role within a Bank
Experience in managing model audit issues or executing controls of analytics development and delivery
Must have an understanding of modeling, data and technical challenges in sufficient detail to engage in dialogue with model development teams and technical partners
Must have a quantitative, analytical, organizational, communication and technology capabilities
Ability to multitask and deliver to tight deadlines
Excellent verbal and written communication skills
Desirable Skills
Ability to apply Excel, VBA, LaTeX and SDLC tools such as JIRA

Shift:
1st shift (United States of America)

Hours Per Week:
40",21954,"Atlanta, GA 30308 "
Advertiser Research Analyst,Cox Media Group,"Description

Summary: The Advertiser Research Analyst will support the CMG Research team in executing primary research advertiser projects in a time sensitive manner for CMG corporate and its properties (radio, TV, newspaper and Internet).

This position will seamlessly integrate into existing team protocol and support the facilitation of advertiser research project completion as needed in three primary areas: questionnaire design, data extraction and analysis, and preparation of strategic research insights.

Essential Functions

Questionnaire Design
Demonstrate knowledge in constructing custom surveys designed for Internet or phone research using programming logic for field services, Internet application development or phone studiesCreate and proof well-written questionnaires for alignment with project goals, objectives and methodology as well as for programming logic in a timely manner
Data Extraction and Manipulation
Create and proof cross-tabulation data tables in a timely mannerCreate, proof and code verbatim response filesDevelop charts, graphs and tables in Excel and Power PointRun data queries in Access
Strategic Research Insights
Craft powerful presentations that deliver results and analysis of the primary research in a clear and compelling manner that are presented to executives, board members, advertising sales decision makers, agencies and local business ownersSummarize research project findings in written report form or in brief graphic representation on tight deadlines, specifically tailored with the receiving audience in mind

Qualifications

Knowledge and Skill Requirements:
5+ years professional experience in market research or similar related field with history/background in media/communications industry strongly encouragedStrong written communication skills especially in regards to creating impactful and insightful research presentations a mustContribute to team success by effectively coordinating and communicating with other members of the CMG Research teamAssist the team in increasing customer loyalty by delivering quality and timely services and productsAbility to work in a highly organized manner with the proven and consistent capability of meeting strict deadlines with accuracy and attention to detailStrict attention to and inspection of deliverables per team quality control protocolProven ability to work well in a fast-paced, multitasking team environment as well as independentlyAbility to communicate clearly and effectively and exercise great judgmentMaintain a high level of flexibility and adaptability, reacting to changes and delivering solid results with the appropriate level of urgency at all timesSome late or weekend hours may be required to meet project deadlinesEducation: Bachelorâ€™s degree or equivalent experience

About Cox Media Group

Cox Media Group is an integrated broadcasting, publishing and digital media company. The companyâ€™s operations currently include broadcast television stations, radio stations, daily newspapers, and digital sites. Additionally, CMG operates the National Advertising Platform businesses of CoxReps - the countryâ€™s biggest television rep firm - Gamut, and Videa. The company also offers a full suite of local and regional advertising services through its Local Solutions and Ideabar businesses. CMG currently operates in more than 20 media markets and reaches approximately 52 million Americans weekly across all platforms. For more information about Cox Media Group, please check us out online at www.coxmediagroup.com.
Cox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individualâ€™s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.
Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.

Organization: Cox Media Group

Primary Location: US-GA-Atlanta-6205 Peachtree Dunwoody Rd NE

Employee Status: Regular

Job Level: Individual Contributor

Shift: Day Job

Travel: No

Schedule: Full-time

Unposting Date: Ongoing",221,"Atlanta, GA"
