"","word","freq"
"ability","ability",334
"data","data",55
"find","find",46
"leveraging","leveraging",44
"limited","limited",44
"answers","answers",43
"array","array",43
"creativity","creativity",43
"vast","vast",43
"complex","complex",36
"business","business",36
"communicate","communicate",31
"work","work",28
"insights","insights",26
"technical","technical",26
"results","results",21
"develop","develop",19
"effectively","effectively",18
"problems","problems",17
"design","design",16
"translate","translate",15
"large","large",13
"apply","apply",13
"drive","drive",13
"projects","projects",12
"needs","needs",12
"methods","methods",12
"concepts","concepts",12
"quickly","quickly",12
"create","create",12
"solutions","solutions",12
"statistical","statistical",12
"understand","understand",12
"analyze","analyze",11
"extract","extract",11
"interpret","interpret",11
"team","team",11
"present","present",11
"teams","teams",10
"science","science",10
"analytical","analytical",10
"new","new",10
"learn","learn",10
"use","use",10
"provide","provide",9
"analysis","analysis",9
"information","information",9
"nontechnical","nontechnical",9
"modeling","modeling",8
"environment","environment",8
"techniques","techniques",8
"research","research",8
"clients","clients",8
"using","using",8
"independently","independently",7
"ideas","ideas",7
"quality","quality",7
"will","will",7
"actionable","actionable",7
"evaluate","evaluate",7
"way","way",7
"help","help",7
"lead","lead",7
"must","must",7
"frame","frame",7
"models","models",6
"see","see",6
"tools","tools",6
"well","well",6
"perform","perform",6
"analytic","analytic",6
"learning","learning",6
"machine","machine",6
"leverage","leverage",6
"sources","sources",6
"algorithms","algorithms",6
"within","within",6
"quantitative","quantitative",6
"development","development",5
"multiple","multiple",5
"real","real",5
"diverse","diverse",5
"improve","improve",5
"optimize","optimize",5
"methodologies","methodologies",5
"products","products",5
"support","support",5
"client","client",5
"prototype","prototype",5
"think","think",5
"interact","interact",5
"manipulate","manipulate",5
"areas","areas",5
"databased","databased",5
"program","program",5
"python","python",5
"stakeholders","stakeholders",5
"clear","clear",5
"engineering","engineering",5
"mathematical","mathematical",5
"findings","findings",5
"also","also",5
"product","product",5
"experience","experience",5
"problem","problem",4
"collect","collect",4
"organize","organize",4
"trends","trends",4
"turned","turned",4
"analytics","analytics",4
"high","high",4
"features","features",4
"functions","functions",4
"including","including",4
"fastpaced","fastpaced",4
"understanding","understanding",4
"role","role",4
"language","language",4
"programming","programming",4
"according","according",4
"creative","creative",4
"informed","informed",4
"make","make",4
"crossfunctional","crossfunctional",4
"audiences","audiences",4
"skills","skills",4
"rigor","rigor",4
"strong","strong",4
"come","come",4
"solve","solve",4
"precise","precise",4
"advocate","advocate",4
"extrinsic","extrinsic",4
"intrinsic","intrinsic",4
"metrics","metrics",4
"model’s","model’s",4
"performan","performan",4
"across","across",4
"independent","independent",4
"hundreds","hundreds",4
"deliver","deliver",4
"apparent","apparent",4
"immediately","immediately",4
"means","means",4
"value","value",4
"recommendations","recommendations",4
"led","led",4
"patterns","patterns",3
"code","code",3
"highly","highly",3
"manage","manage",3
"processes","processes",3
"prioritize","prioritize",3
"senior","senior",3
"customer","customer",3
"impact","impact",3
"marketing","marketing",3
"measure","measure",3
"articulate","articulate",3
"busin","busin",3
"sets","sets",3
"rapidly","rapidly",3
"technologies","technologies",3
"linux","linux",3
"meet","meet",3
"predictive","predictive",3
"additionally","additionally",3
"decisions","decisions",3
"simple","simple",3
"straightforward","straightforward",3
"variety","variety",3
"collaborative","collaborative",3
"tasks","tasks",3
"various","various",3
"applicable","applicable",3
"challenge","challenge",3
"exp","exp",3
"field","field",3
"larger","larger",3
"expertise","expertise",3
"ana","ana",3
"member","member",3
"written","written",3
"least","least",3
"implement","implement",3
"sql","sql",3
"clearly","clearly",3
"explain","explain",3
"issues","issues",3
"excel","excel",3
"plans","plans",3
"key","key",3
"service","service",3
"attention","attention",3
"detail","detail",3
"identify","identify",3
"datasets","datasets",3
"amp","amp",3
"systems","systems",3
"leaders","leaders",3
"scientists","scientists",3
"conversations","conversations",3
"solution","solution",3
"define","define",3
"performance","performance",3
"structured","structured",3
"analyses","analyses",3
"collaborate","collaborate",3
"balance","balance",3
"pragmatism","pragmatism",3
"scientific","scientific",3
"simplicity","simplicity",3
