"","word","freq"
"skills","skills",393
"data","data",74
"communication","communication",68
"strong","strong",59
"will","will",48
"analytical","analytical",42
"technical","technical",35
"excellent","excellent",34
"science","science",31
"business","business",25
"learning","learning",24
"problemsolving","problemsolving",24
"analytics","analytics",21
"team","team",21
"written","written",21
"experience","experience",20
"programming","programming",19
"problem","problem",19
"solving","solving",19
"apply","apply",19
"use","use",18
"using","using",17
"statistical","statistical",17
"’ll","’ll",17
"quantitative","quantitative",17
"set","set",16
"interpersonal","interpersonal",16
"engineering","engineering",16
"sql","sql",15
"opportunity","opportunity",15
"thinking","thinking",15
"modeling","modeling",15
"advanced","advanced",14
"analysis","analysis",14
"machine","machine",13
"management","management",13
"knowledge","knowledge",13
"environment","environment",13
"company","company",13
"people","people",13
"project","project",12
"strategic","strategic",12
"expand","expand",12
"verbal","verbal",12
"need","need",12
"broad","broad",11
"problems","problems",11
"new","new",11
"techniques","techniques",10
"presentation","presentation",10
"individual","individual",10
"python","python",10
"creative","creative",10
"work","work",10
"expertise","expertise",10
"hire","hire",10
"computer","computer",9
"following","following",9
"good","good",9
"must","must",9
"offerings","offerings",9
"toring","toring",9
"ability","ability",9
"looking","looking",9
"collaboration","collaboration",9
"scientist","scientist",9
"great","great",8
"analytic","analytic",8
"statistics","statistics",8
"candidate","candidate",8
"oral","oral",8
"possess","possess",8
"develop","develop",8
"critical","critical",8
"diverse","diverse",8
"assistance","assistance",7
"provide","provide",7
"resolve","resolve",7
"predictive","predictive",7
"highly","highly",7
"position","position",7
"collaborative","collaborative",7
"effective","effective",7
"demonstrated","demonstrated",7
"want","want",7
"client","client",7
"applying","applying",7
"acumen","acumen",7
"complex","complex",7
"mining","mining",6
"research","research",6
"organizational","organizational",6
"successful","successful",6
"build","build",6
"outstanding","outstanding",6
"learn","learn",6
"models","models",6
"spark","spark",6
"solid","solid",6
"relationship","relationship",6
"player","player",6
"customer","customer",6
"developing","developing",6
"within","within",6
"expert","expert",6
"working","working",5
"mathematical","mathematical",5
"language","language",5
"teams","teams",5
"design","design",5
"first","first",5
"’ve","’ve",5
"role","role",5
"support","support",5
"java","java",5
"person","person",5
"can","can",5
"visualization","visualization",5
"interest","interest",4
"talent","talent",4
"one","one",4
"grow","grow",4
"utilizing","utilizing",4
"sets","sets",4
"backgrounds","backgrounds",4
"audience","audience",4
"requires","requires",4
"seeks","seeks",4
"ever","ever",4
"met","met",4
"ople","ople",4
"see","see",4
"also","also",4
"someone","someone",4
"teach","teach",4
"cia","cia",4
"cuttingedge","cuttingedge",4
"ddi","ddi",4
"focuses","focuses",4
"workforce","workforce",4
"candidates","candidates",4
"industry","industry",4
"hadoop","hadoop",4
"right","right",4
"mathematics","mathematics",4
"excited","excited",4
"motivated","motivated",4
"possesses","possesses",4
"part","part",4
"tools","tools",4
"seeking","seeking",4
"technology","technology",4
"tistical","tistical",3
"performance","performance",3
"responsibilities","responsibilities",3
"standards","standards",3
"ideal","ideal",3
"innovative","innovative",3
"needs","needs",3
"life","life",3
"questions","questions",3
"solve","solve",3
"insights","insights",3
"hard","hard",3
"deployment","deployment",3
"continually","continually",3
"deep","deep",3
"top","top",3
"listening","listening",3
"teamwork","teamwork",3
"unications","unications",3
"supplement","supplement",3
"mindset","mindset",3
"important","important",3
"collective","collective",3
"geared","geared",3
"nline","nline",3
"portal","portal",3
"specifically","specifically",3
"towards","towards",3
"improve","improve",3
"matters","matters",3
"services","services",3
"utilize","utilize",3
"ing","ing",3
"leadership","leadership",3
"clients","clients",3
"help","help",3
"members","members",3
"rapidly","rapidly",3
"drive","drive",3
"way","way",3
"application","application",3
"mic","mic",3
"unique","unique",3
"database","database",3
"independent","independent",3
"enjoy","enjoy",3
"addition","addition",3
"communications","communications",3
"senior","senior",3
"uantitative","uantitative",3
"demonstrate","demonstrate",3
"exceptional","exceptional",3
"appreciate","appreciate",3
