,word,freq
data,data,7907
experience,experience,6398
will,will,3787
work,work,3762
team,team,3256
research,research,2947
skills,skills,2509
development,development,2482
business,business,2345
learning,learning,1992
ability,ability,1961
new,new,1860
science,science,1785
analysis,analysis,1761
including,including,1740
years,years,1658
design,design,1613
working,working,1573
management,management,1570
technical,technical,1538
product,product,1531
required,required,1506
software,software,1497
machine,machine,1487
engineering,engineering,1444
strong,strong,1428
support,support,1385
analytics,analytics,1321
solutions,solutions,1321
knowledge,knowledge,1317
related,related,1309
degree,degree,1283
systems,systems,1281
environment,environment,1251
teams,teams,1244
information,information,1184
opportunity,opportunity,1175
develop,develop,1170
qualifications,qualifications,1120
products,products,1103
using,using,1097
company,company,1079
technology,technology,1074
requirements,requirements,1070
status,status,1043
position,position,1030
projects,projects,1030
scientists,scientists,1022
tools,tools,1013
responsibilities,responsibilities,970
help,help,969
preferred,preferred,953
project,project,941
communication,communication,931
clinical,clinical,930
role,role,928
computer,computer,916
across,across,899
field,field,898
provide,provide,889
understanding,understanding,889
job,job,871
build,build,866
services,services,862
models,models,847
amp,amp,842
customer,customer,815
people,people,813
must,must,812
technologies,technologies,811
well,well,805
equal,equal,799
process,process,787
statistical,statistical,785
analytical,analytical,783
one,one,781
customers,customers,774
scientist,scientist,771
within,within,771
employment,employment,763
use,use,760
complex,complex,757
health,health,755
engineers,engineers,748
can,can,741
techniques,techniques,740
problems,problems,735
python,python,727
make,make,723
excellent,excellent,706
quality,quality,702
building,building,700
disability,disability,700
industry,industry,699
medical,medical,699
may,may,696
advanced,advanced,695
developing,developing,686
scientific,scientific,680
employer,employer,679
lead,lead,660
key,key,652
performance,performance,646
looking,looking,643
candidate,candidate,643
insights,insights,642
gender,gender,638
system,system,632
etc,etc,627
applications,applications,625
best,best,622
time,time,619
clients,clients,615
results,results,615
marketing,marketing,612
responsible,responsible,610
large,large,609
national,national,599
drive,drive,598
high,high,596
methods,methods,594
statistics,statistics,593
world,world,590
include,include,577
programming,programming,571
expertise,expertise,570
global,global,569
join,join,568
reports,reports,566
also,also,566
education,education,564
impact,impact,564
highly,highly,563
operations,operations,561
phd,phd,561
needs,needs,561
plus,plus,559
program,program,558
written,written,557
maintain,maintain,555
able,able,553
algorithms,algorithms,552
relevant,relevant,547
organization,organization,542
processes,processes,542
